diag_nat_code,chapter_range,chapter_name,group_range,group_name,sub_group_range,sub_group_name
R223,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R20-R23,Symptoms and signs involving the skin and subcutaneous tissue,R20-R23,Symptoms and signs involving the skin and subcutaneous tissue
N08,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
B963,A00-B99,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents",B95-B98,"Bacterial, viral and other infectious agents"
N920,N00-N99,Diseases of the genitourinary system,N80-N98,Noninflammatory disorders of female genital tract,N80-N98,Noninflammatory disorders of female genital tract
E230,E00-E90,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E20-E35,Disorders of other endocrine glands
A411,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30-A49,Other bacterial diseases
T818,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
J398,J00-J99,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J30-J39,Other diseases of upper respiratory tract
L906,L00-L99,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue
M6226,M00-M99,Diseases of the musculoskeletal system and connective tissue,M60-M79,Soft tissue disorders,M60-M63,Disorders of muscles
R529,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
Q670,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system
K070,K00-K93,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00-K14,"Diseases of oral cavity, salivary glands and jaws"
K123,K00-K93,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00-K14,"Diseases of oral cavity, salivary glands and jaws"
I64,I00-I99,Diseases of the circulatory system,I60-I69,Cerebrovascular diseases,I60-I69,Cerebrovascular diseases
M952,M00-M99,Diseases of the musculoskeletal system and connective tissue,M95-M99,Other disorders of the musculoskeletal system and connective tissue,M95-M99,Other disorders of the musculoskeletal system and connective tissue
Z251,Z00-Z99,Factors influencing health status and contact with health services,Z20-Z29,Persons with potential health hazards related to communicable diseases,Z20-Z29,Persons with potential health hazards related to communicable diseases
E873,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
P220,P00-P96,Certain conditions originating in the perinatal period,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period
G510,G00-G99,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders",G50-G59,"Nerve, nerve root and plexus disorders"
I420,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
N939,N00-N99,Diseases of the genitourinary system,N80-N98,Noninflammatory disorders of female genital tract,N80-N98,Noninflammatory disorders of female genital tract
Y836,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
D808,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism
Q749,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system
F419,F00-F99,Mental and behavioural disorders,F40-F48,"Neurotic, stress-related and somatoform disorders",F40-F48,"Neurotic, stress-related and somatoform disorders"
Q438,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q38-Q45,Other congenital malformations of the digestive system,Q38-Q45,Other congenital malformations of the digestive system
M6280,M00-M99,Diseases of the musculoskeletal system and connective tissue,M60-M79,Soft tissue disorders,M60-M63,Disorders of muscles
R590,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
N134,N00-N99,Diseases of the genitourinary system,N10-N16,Renal tubulo-interstitial diseases,N10-N16,Renal tubulo-interstitial diseases
Q828,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q80-Q89,Other congenital malformations,Q80-Q89,Other congenital malformations
R13,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen,R10-R19,Symptoms and signs involving the digestive system and abdomen
T887,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
Z820,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
E878,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
Q790,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system
Z813,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
I742,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
G439,G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G40-G47,Episodic and paroxysmal disorders
N259,N00-N99,Diseases of the genitourinary system,N25-N29,Other disorders of kidney and ureter,N25-N29,Other disorders of kidney and ureter
N054,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
I500,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
Z858,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
I499,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
Z906,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R160,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen,R10-R19,Symptoms and signs involving the digestive system and abdomen
Y434,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y40-Y59,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
G961,G00-G99,Diseases of the nervous system,G90-G99,Other disorders of the nervous system,G90-G99,Other disorders of the nervous system
Grc,,,,,,
Q288,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
G911,G00-G99,Diseases of the nervous system,G90-G99,Other disorders of the nervous system,G90-G99,Other disorders of the nervous system
T860,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
K439,K00-K93,Diseases of the digestive system,K40-K46,Hernia,K40-K46,Hernia
P610,P00-P96,Certain conditions originating in the perinatal period,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn
R065,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
M2117,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M20-M25,Other joint disorders
Z856,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z258,Z00-Z99,Factors influencing health status and contact with health services,Z20-Z29,Persons with potential health hazards related to communicable diseases,Z20-Z29,Persons with potential health hazards related to communicable diseases
Q189,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q10-Q18,"Congenital malformations of eye, ear, face and neck",Q10-Q18,"Congenital malformations of eye, ear, face and neck"
K37,K00-K93,Diseases of the digestive system,K35-K38,Diseases of appendix,K35-K38,Diseases of appendix
M2116,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M20-M25,Other joint disorders
N911,N00-N99,Diseases of the genitourinary system,N80-N98,Noninflammatory disorders of female genital tract,N80-N98,Noninflammatory disorders of female genital tract
I330,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
R601,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
K076,K00-K93,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00-K14,"Diseases of oral cavity, salivary glands and jaws"
K922,K00-K93,Diseases of the digestive system,K90-K93,Other diseases of the digestive system,K90-K93,Other diseases of the digestive system
B977,A00-B99,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents",B95-B98,"Bacterial, viral and other infectious agents"
I498,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
H540,H00-H59,Diseases of the eye and adnexa,H53-H54,Visual disturbances and blindness,H53-H54,Visual disturbances and blindness
E273,E00-E90,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E20-E35,Disorders of other endocrine glands
F458,F00-F99,Mental and behavioural disorders,F40-F48,"Neurotic, stress-related and somatoform disorders",F40-F48,"Neurotic, stress-related and somatoform disorders"
N832,N00-N99,Diseases of the genitourinary system,N80-N98,Noninflammatory disorders of female genital tract,N80-N98,Noninflammatory disorders of female genital tract
Erc,,,,,,
C771,C00-D48,Neoplasms,C00-C97,Malignant neoplasms,C76-C80,"Malignant neoplasms of ill-defined,  secondary and unspecified sites"
N048,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
B378,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B35-B49,Mycoses
R098,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
Z848,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
M311,M00-M99,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M30-M36,Systemic connective tissue disorders
Z885,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Q668,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system
R34,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R30-R39,Symptoms and signs involving the urinary system,R30-R39,Symptoms and signs involving the urinary system
P071,P00-P96,Certain conditions originating in the perinatal period,P05-P08,Disorders related to length of gestation and fetal growth,P05-P08,Disorders related to length of gestation and fetal growth
Z912,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
I491,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
H358,H00-H59,Diseases of the eye and adnexa,H30-H36,Disorders of choroid and retina,H30-H36,Disorders of choroid and retina
I428,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
N946,N00-N99,Diseases of the genitourinary system,N80-N98,Noninflammatory disorders of female genital tract,N80-N98,Noninflammatory disorders of female genital tract
Q531,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q50-Q56,Congenital malformations of genital organs,Q50-Q56,Congenital malformations of genital organs
Q272,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
K631,K00-K93,Diseases of the digestive system,K55-K64,Other diseases of intestines,K55-K64,Other diseases of intestines
I823,I00-I99,Diseases of the circulatory system,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
M0836,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M05-M14,Inflammatory polyarthropathies
E721,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
Q311,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q30-Q34,Congenital malformations of the respiratory system,Q30-Q34,Congenital malformations of the respiratory system
E791,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
F410,F00-F99,Mental and behavioural disorders,F40-F48,"Neurotic, stress-related and somatoform disorders",F40-F48,"Neurotic, stress-related and somatoform disorders"
Y579,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y40-Y59,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
O410,O00-O99,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems
N393,N00-N99,Diseases of the genitourinary system,N30-N39,Other diseases of urinary system,N30-N39,Other diseases of urinary system
Q258,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
Q213,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
Z538,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
Z982,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R02,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
I779,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
E870,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
Z952,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R418,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour",R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
J181,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J09-J18,Influenza and pneumonia
Q613,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
I632,I00-I99,Diseases of the circulatory system,I60-I69,Cerebrovascular diseases,I60-I69,Cerebrovascular diseases
I741,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
Q992,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified"
I7000,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
I868,I00-I99,Diseases of the circulatory system,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
G249,G00-G99,Diseases of the nervous system,G20-G26,Extrapyramidal and movement disorders,G20-G26,Extrapyramidal and movement disorders
N040,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
T834,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
R14,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen,R10-R19,Symptoms and signs involving the digestive system and abdomen
I828,I00-I99,Diseases of the circulatory system,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
R71,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R70-R79,"Abnormal findings on examination of blood, without diagnosis",R70-R79,"Abnormal findings on examination of blood, without diagnosis"
Q676,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system
B971,A00-B99,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents",B95-B98,"Bacterial, viral and other infectious agents"
Z092,Z00-Z99,Factors influencing health status and contact with health services,Z00-Z13,Persons encountering health services for examination and investigation,Z00-Z13,Persons encountering health services for examination and investigation
Q447,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q38-Q45,Other congenital malformations of the digestive system,Q38-Q45,Other congenital malformations of the digestive system
I635,I00-I99,Diseases of the circulatory system,I60-I69,Cerebrovascular diseases,I60-I69,Cerebrovascular diseases
R008,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
L83,L00-L99,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue
P590,P00-P96,Certain conditions originating in the perinatal period,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn
R908,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
T858,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
Q388,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q38-Q45,Other congenital malformations of the digestive system,Q38-Q45,Other congenital malformations of the digestive system
Z031,Z00-Z99,Factors influencing health status and contact with health services,Z00-Z13,Persons encountering health services for examination and investigation,Z00-Z13,Persons encountering health services for examination and investigation
R635,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
R072,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
D233,C00-D48,Neoplasms,D10-D36,Benign neoplasms,D10-D36,Benign neoplasms
U072,U00-U85,Codes for special purposes,U00-U49,Provisional assignment of new diseases of uncertain etiology or emergency use,U00-U49,Provisional assignment of new diseases of uncertain etiology or emergency use
I443,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
E168,E00-E90,"Endocrine, nutritional and metabolic diseases",E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,E15-E16,Other disorders of glucose regulation and pancreatic internal secretion
K768,K00-K93,Diseases of the digestive system,K70-K77,Diseases of liver,K70-K77,Diseases of liver
R233,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R20-R23,Symptoms and signs involving the skin and subcutaneous tissue,R20-R23,Symptoms and signs involving the skin and subcutaneous tissue
Q279,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
M0880,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M05-M14,Inflammatory polyarthropathies
B99,A00-B99,Certain infectious and parasitic diseases,B99-B99,Other infectious diseases,B99-B99,Other infectious diseases
A419,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30-A49,Other bacterial diseases
Q524,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q50-Q56,Congenital malformations of genital organs,Q50-Q56,Congenital malformations of genital organs
L819,L00-L99,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue
M2550,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M20-M25,Other joint disorders
R778,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R70-R79,"Abnormal findings on examination of blood, without diagnosis",R70-R79,"Abnormal findings on examination of blood, without diagnosis"
Z598,Z00-Z99,Factors influencing health status and contact with health services,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
N119,N00-N99,Diseases of the genitourinary system,N10-N16,Renal tubulo-interstitial diseases,N10-N16,Renal tubulo-interstitial diseases
K115,K00-K93,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00-K14,"Diseases of oral cavity, salivary glands and jaws"
L539,L00-L99,Diseases of the skin and subcutaneous tissue,L50-L54,Urticaria and erythema,L50-L54,Urticaria and erythema
N135,N00-N99,Diseases of the genitourinary system,N10-N16,Renal tubulo-interstitial diseases,N10-N16,Renal tubulo-interstitial diseases
Y413,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y40-Y59,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Q233,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
H114,H00-H59,Diseases of the eye and adnexa,H10-H13,Disorders of conjunctiva,H10-H13,Disorders of conjunctiva
M303,M00-M99,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M30-M36,Systemic connective tissue disorders
K222,K00-K93,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K20-K31,"Diseases of oesophagus, stomach and duodenum"
G479,G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G40-G47,Episodic and paroxysmal disorders
D350,C00-D48,Neoplasms,D10-D36,Benign neoplasms,D10-D36,Benign neoplasms
R268,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R25-R29,Symptoms and signs involving the nervous and musculoskeletal systems,R25-R29,Symptoms and signs involving the nervous and musculoskeletal systems
E830,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
R478,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R47-R49,Symptoms and signs involving speech and voice,R47-R49,Symptoms and signs involving speech and voice
Q250,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
U837,U00-U85,Codes for special purposes,U82-U85,Resistance to antimicrobial and antineoplastic drugs,U82-U85,Resistance to antimicrobial and antineoplastic drugs
T808,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
Z532,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
Z991,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
I519,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
D151,C00-D48,Neoplasms,D10-D36,Benign neoplasms,D10-D36,Benign neoplasms
L891,L00-L99,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue
K409,K00-K93,Diseases of the digestive system,K40-K46,Hernia,K40-K46,Hernia
R578,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
B349,A00-B99,Certain infectious and parasitic diseases,B25-B34,Other viral diseases,B25-B34,Other viral diseases
F69,F00-F99,Mental and behavioural disorders,F60-F69,Disorders of adult personality and behaviour,F60-F69,Disorders of adult personality and behaviour
N926,N00-N99,Diseases of the genitourinary system,N80-N98,Noninflammatory disorders of female genital tract,N80-N98,Noninflammatory disorders of female genital tract
E799,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
I674,I00-I99,Diseases of the circulatory system,I60-I69,Cerebrovascular diseases,I60-I69,Cerebrovascular diseases
N250,N00-N99,Diseases of the genitourinary system,N25-N29,Other disorders of kidney and ureter,N25-N29,Other disorders of kidney and ureter
Z825,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
K623,K00-K93,Diseases of the digestive system,K55-K64,Other diseases of intestines,K55-K64,Other diseases of intestines
P012,P00-P96,Certain conditions originating in the perinatal period,P00-P04,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",P00-P04,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
M8199,M00-M99,Diseases of the musculoskeletal system and connective tissue,M80-M94,Osteopathies and chondropathies,M80-M85,Disorders of bone density and structure
G968,G00-G99,Diseases of the nervous system,G90-G99,Other disorders of the nervous system,G90-G99,Other disorders of the nervous system
J351,J00-J99,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J30-J39,Other diseases of upper respiratory tract
